8.4	0.0583002	0.116402	0.174107	0.231219	0.287544	0.55077
8.5	0.0576151	0.115039	0.172079	0.228548	0.284256	0.545031
8.6	0.0569459	0.113707	0.170098	0.225937	0.281041	0.5394
8.7	0.056292	0.112405	0.168162	0.223384	0.277897	0.533875
8.8	0.055653	0.111133	0.166269	0.220888	0.274822	0.528454
8.9	0.0550283	0.10989	0.164418	0.218447	0.271813	0.523133
9	0.0544175	0.108674	0.162607	0.216058	0.268868	0.517911
9.1	0.0538201	0.107484	0.160836	0.213721	0.265986	0.512785
9.2	0.0532357	0.10632	0.159103	0.211434	0.263164	0.507752
9.3	0.0526638	0.105181	0.157406	0.209194	0.2604	0.502811
9.4	0.052104	0.104066	0.155746	0.207001	0.257694	0.497959
9.5	0.0515561	0.102975	0.154119	0.204853	0.255042	0.493194
9.6	0.0510195	0.101906	0.152527	0.202749	0.252444	0.488514
9.7	0.050494	0.100859	0.150966	0.200688	0.249897	0.483917
9.8	0.0499791	0.0998332	0.149437	0.198668	0.247401	0.479401
9.9	0.0494747	0.0988281	0.147939	0.196687	0.244953	0.474963
10	0.0489804	0.097843	0.14647	0.194746	0.242553	0.470602
10.1	0.0484958	0.0968773	0.145031	0.192842	0.240199	0.466317
10.2	0.0480207	0.0959305	0.143619	0.190975	0.23789	0.462105
10.3	0.0475549	0.095002	0.142234	0.189143	0.235625	0.457964
10.4	0.0470979	0.0940912	0.140875	0.187347	0.233401	0.453894
10.5	0.0466497	0.0931977	0.139543	0.185583	0.231219	0.449891
10.6	0.0462099	0.092321	0.138235	0.183852	0.229077	0.445956
10.7	0.0457784	0.0914606	0.136951	0.182154	0.226974	0.442086
10.8	0.0453548	0.0906161	0.135691	0.180486	0.224909	0.438279
10.9	0.044939	0.089787	0.134453	0.178848	0.22288	0.434534
11	0.0445307	0.088973	0.133238	0.177239	0.220888	0.43085
11.1	0.0441298	0.0881735	0.132045	0.175659	0.218931	0.427226
11.2	0.043736	0.0873882	0.130873	0.174107	0.217007	0.423659
11.3	0.0433492	0.0866169	0.129721	0.172582	0.215117	0.42015
