
0	1.1	0.978619
0.020944	1.1	0.978404
0.0418879	1.1	0.977761
0.0628319	1.1	0.976688
0.0837758	1.1	0.975187
0.10472	1.1	0.973258
0.125664	1.1	0.970902
0.146608	1.1	0.968121
0.167552	1.1	0.964914
0.188496	1.1	0.961285
0.20944	1.1	0.957234
0.230383	1.1	0.952763
0.251327	1.1	0.947874
0.272271	1.1	0.942569
0.293215	1.1	0.936851
0.314159	1.1	0.930722
0.335103	1.1	0.924185
0.356047	1.1	0.917242
0.376991	1.1	0.909897
0.397935	1.1	0.902153
0.418879	1.1	0.894013
0.439823	1.1	0.885481
0.460767	1.1	0.876561
0.481711	1.1	0.867256
0.502655	1.1	0.85757
0.523599	1.1	0.847509
0.544543	1.1	0.837076
0.565487	1.1	0.826275
0.586431	1.1	0.815113
0.607375	1.1	0.803592
0.628319	1.1	0.791719
0.649262	1.1	0.779499
0.670206	1.1	0.766937
0.69115	1.1	0.754039
0.712094	1.1	0.74081
0.733038	1.1	0.727256
0.753982	1.1	0.713383
0.774926	1.1	0.699197
0.79587	1.1	0.684704
0.816814	1.1	0.669911
0.837758	1.1	0.654824
0.858702	1.1	0.63945
0.879646	1.1	0.623795
0.90059	1.1	0.607867
0.921534	1.1	0.591672
0.942478	1.1	0.575218
0.963422	1.1	0.558511
0.984366	1.1	0.541559
1.00531	1.1	0.52437
1.02625	1.1	0.506951
1.0472	1.1	0.48931
1.06814	1.1	0.471453
1.08909	1.1	0.45339
1.11003	1.1	0.435128
1.13097	1.1	0.416676
1.15192	1.1	0.39804
1.17286	1.1	0.37923
1.19381	1.1	0.360254
1.21475	1.1	0.341119
1.23569	1.1	0.321835
1.25664	1.1	0.30241
1.27758	1.1	0.282852
1.29852	1.1	0.26317
1.31947	1.1	0.243373
1.34041	1.1	0.223469
1.36136	1.1	0.203466
1.3823	1.1	0.183375
1.40324	1.1	0.163203
1.42419	1.1	0.14296
1.44513	1.1	0.122653
1.46608	1.1	0.102294
1.48702	1.1	0.0818887
1.50796	1.1	0.061448
1.52891	1.1	0.0409803
1.54985	1.1	0.0204947
1.5708	1.1	1.02656e-15
1.59174	1.1	0.0204947
1.61268	1.1	0.0409803
1.63363	1.1	0.061448
1.65457	1.1	0.0818887
1.67552	1.1	0.102294
1.69646	1.1	0.122653
1.7174	1.1	0.14296
1.73835	1.1	0.163203
1.75929	1.1	0.183375
1.78024	1.1	0.203466
1.80118	1.1	0.223469
1.82212	1.1	0.243373
1.84307	1.1	0.26317
1.86401	1.1	0.282852
1.88496	1.1	0.30241
1.9059	1.1	0.321835
1.92684	1.1	0.341119
1.94779	1.1	0.360254
1.96873	1.1	0.37923
1.98968	1.1	0.39804
2.01062	1.1	0.416676
2.03156	1.1	0.435128
2.05251	1.1	0.45339
2.07345	1.1	0.471453
2.0944	1.1	0.48931
2.11534	1.1	0.506951
2.13628	1.1	0.52437
2.15723	1.1	0.541559
2.17817	1.1	0.558511
2.19911	1.1	0.575218
2.22006	1.1	0.591672
2.241	1.1	0.607867
2.26195	1.1	0.623795
2.28289	1.1	0.63945
2.30383	1.1	0.654824
2.32478	1.1	0.669911
2.34572	1.1	0.684704
2.36667	1.1	0.699197
2.38761	1.1	0.713383
2.40855	1.1	0.727256
2.4295	1.1	0.74081
2.45044	1.1	0.754039
2.47139	1.1	0.766937
2.49233	1.1	0.779499
2.51327	1.1	0.791719
2.53422	1.1	0.803592
2.55516	1.1	0.815113
2.57611	1.1	0.826275
2.59705	1.1	0.837076
2.61799	1.1	0.847509
2.63894	1.1	0.85757
2.65988	1.1	0.867256
2.68083	1.1	0.876561
2.70177	1.1	0.885481
2.72271	1.1	0.894013
2.74366	1.1	0.902153
2.7646	1.1	0.909897
2.78555	1.1	0.917242
2.80649	1.1	0.924185
2.82743	1.1	0.930722
2.84838	1.1	0.936851
2.86932	1.1	0.942569
2.89027	1.1	0.947874
2.91121	1.1	0.952763
2.93215	1.1	0.957234
2.9531	1.1	0.961285
2.97404	1.1	0.964914
2.99498	1.1	0.968121
3.01593	1.1	0.970902
3.03687	1.1	0.973258
3.05782	1.1	0.975187
3.07876	1.1	0.976688
3.0997	1.1	0.977761
3.12065	1.1	0.978404
3.14159	1.1	0.978619
3.16254	1.1	0.978404
3.18348	1.1	0.977761
3.20442	1.1	0.976688
3.22537	1.1	0.975187
3.24631	1.1	0.973258
3.26726	1.1	0.970902
3.2882	1.1	0.968121
3.30914	1.1	0.964914
3.33009	1.1	0.961285
3.35103	1.1	0.957234
3.37198	1.1	0.952763
3.39292	1.1	0.947874
3.41386	1.1	0.942569
3.43481	1.1	0.936851
3.45575	1.1	0.930722
3.4767	1.1	0.924185
3.49764	1.1	0.917242
3.51858	1.1	0.909897
3.53953	1.1	0.902153
3.56047	1.1	0.894013
3.58142	1.1	0.885481
3.60236	1.1	0.876561
3.6233	1.1	0.867256
3.64425	1.1	0.85757
3.66519	1.1	0.847509
3.68614	1.1	0.837076
3.70708	1.1	0.826275
3.72802	1.1	0.815113
3.74897	1.1	0.803592
3.76991	1.1	0.791719
3.79086	1.1	0.779499
3.8118	1.1	0.766937
3.83274	1.1	0.754039
3.85369	1.1	0.74081
3.87463	1.1	0.727256
3.89557	1.1	0.713383
3.91652	1.1	0.699197
3.93746	1.1	0.684704
3.95841	1.1	0.669911
3.97935	1.1	0.654824
4.00029	1.1	0.63945
4.02124	1.1	0.623795
4.04218	1.1	0.607867
4.06313	1.1	0.591672
4.08407	1.1	0.575218
4.10501	1.1	0.558511
4.12596	1.1	0.541559
4.1469	1.1	0.52437
